MinVolt,MinWeight,MaxWeight,MaxVolt
917,13300,31860,2056
1092,13220,39350,2840
1005,13300,31860,2056
879,13300,31860,2056
961,13300,34220,2097
1048,13300,31860,2056
994,13300,31860,2056
912,13300,31860,2056
1167,13300,31860,2056
961,13300,31860,2056
1092,10640,19410,1748
962,10640,19410,1748
1042,13130,30620,2085
787,11800,29560,1743
961,13130,30620,2085
1000,13130,30620,2085
956,13130,30620,2085
1048,13300,31860,2056
917,13300,31860,2056
1129,13300,31860,2056
1005,13300,31860,2056
1000,10640,19410,1748
830,10640,19410,1748
1173,10640,19410,1748
1179,10640,19410,1748
868,10640,19410,1748
961,10640,19410,1748
830,10640,19410,1748
825,13300,31860,2056
1174,13300,31860,2056
1037,13300,31860,2056
874,13300,31860,2056
659,13300,31860,2056
967,13300,31860,2056
869,10640,19410,1748
1048,21250,51000,3503
1173,21250,51000,3503
1173,21250,51000,3500
830,21250,51000,3503
1173,21250,51000,3500
1048,21250,51000,3503
868,20250,51000,3503
887,21250,51000,3503
1153,21250,51000,3501
1055,21250,51000,3501
1092,21250,51000,3501
1153,20250,51000,3503
655,21250,51000,3501
658,21250,51000,3501
1053,21250,51000,3501
999,16000,61780,1475
1131,17500,47520,2445
1223,17500,50040,2641
876,13100,39320,2287
912,13100,39320,2923
1055,13100,39320,3066
876,13100,39320,2887
1005,13100,39320,3016
1055,11280,18040,1600
702,11280,18040,1247
611,11280,18040,1200
1129,11280,18040,1674
1092,11280,18040,1637
1048,11280,18040,1607
1216,11280,18040,1761
967,11280,18040,1688
1005,11280,8040,1650
1005,11280,18040,1650
923,11280,18040,1468
961,11280,18040,1506
1136,11280,18040,1681
1042,11280,18040,1600
874,6960,9180,2000
961,7260,23680,1099
633,7260,23680,1300
691,7260,23680,1215
966,7260,23680,1300
1167,7260,23680,1300
912,7260,23680,1300
1125,5320,17180,1480
1048,5320,17180,1300
1136,5320,17180,1480
742,5320,17180,1300
786,5320,17180,1300
912,10280,18540,1400
994,6960,9180,2100
1124,11280,18040,1680
1048,11280,18040,1608
1130,13300,31860,2100
917,13300,31860,2056
1136,13300,31860,2100
1092,13300,31860,2056
913,13300,31860,2056
911,13300,31860,2056
1289,13300,31860,2150
961,13300,31860,2056
1011,13300,31860,2056
1136,11280,18040,1681
780,7260,23680,1099
1054,11280,18040,1599
961,11280,18040,1506
955,11280,18040,1500
955,7260,23680,1500
961,7260,23680,1628
662,11280,18040,1247
1124,7260,23680,1224
1261,11280,18040,1806
659,11280,18040,1247
874,13100,39320,2887
1011,11280,18040,1556
740,11280,18040,1260
1048,11280,18040,1600
917,13100,39320,2950
791,11280,18040,1347
1303,11280,18040,1848
1304,11280,18040,1850
1038,11280,18040,1600
1048,11280,18040,1593
951,11280,18040,1496
1139,11280,18040,1634
830,11280,18040,1374
1136,11280,18040,1680
1098,11280,18040,1642
925,7260,23680,1135
1117,11280,18040,1661
961,11280,18040,1505
830,11280,18040,1374
1234,11280,18040,1778
1000,11280,18040,1544
1042,11280,18040,1586
1136,11280,18040,1680
1048,11280,18040,1592
967,11280,18040,1511
786,13100,39320,2819
1005,11280,18040,1549
961,11280,18040,1505
961,13100,39320,2994
703,7260,23680,913
1005,13100,39320,3038
659,7260,23680,869
895,13100,39320,2928
1136,13100,39320,3169
1259,13100,39320,3292
1130,13100,39320,3163
869,13100,39320,2902
1005,13100,39320,3038
786,13100,39320,2819
1269,7260,23680,1479
1032,13100,39320,3065
1223,13100,39320,3256
1217,13100,39320,3250
930,7260,23680,1140
1044,13100,39320,3077
1048,13100,39320,3081
1000,27640,55860,4000
787,11280,18040,1331
1129,11280,18040,1673
1223,10280,18540,1711
1000,5320,17180,1514
1303,11280,18040,1863
786,5200,10000,2807
804,3600,4800,1034
978,5200,10000,2999
747,5200,10000,2768
1074,5200,10000,3095
989,5200,10000,3010
961,5200,10000,2982
782,5200,10000,2803
1092,5200,10000,3113
1047,5200,10000,3068
923,5200,10000,2944
1267,5200,10000,3288
876,5200,10000,2897
695,5200,10000,2716
1005,3600,4800,1235
739,3600,4800,969
961,3600,4800,1191
450,3600,6800,2200
1253,3600,6800,3003
917,3600,6800,2667
830,3600,6800,2580
917,3600,6800,2667
978,3600,6800,2728
917,3600,6800,2667
1087,3600,6800,2837
1179,3600,6800,2929
1136,3600,6800,2886
967,3600,6800,2717
669,3600,6800,2419
874,3600,6800,2624
699,3600,6800,2449
917,3600,6800,2667
917,3600,6800,2667
1297,3600,6800,3047
1092,3600,6800,2842
747,3600,6800,2497
782,3600,6800,2532
1179,3600,6800,2929
903,3600,6800,2653
791,3600,6800,2541
739,3600,6800,2489
869,3600,6800,2619
1167,3600,6800,2917
874,3600,6800,2624
742,3600,6800,2492
835,3600,6800,2585
611,3600,6800,2361
922,3600,6800,2672
874,3600,6800,2624
1005,15200,26700,1400
941,15200,26700,1336
1136,15200,26700,1531
1218,15200,26700,1613
1217,15200,26700,1612
1087,15200,26700,1482
967,15200,26700,1362
702,19050,30880,2000
830,16000,61780,1600
705,16000,61780,1475
1005,10370,11835,2605
1136,7890,16950,2200
923,7270,18225,1450
782,9040,21330,1750
1024,7890,16950,2088
1142,7890,16950,2206
985,9040,21330,1953
879,9040,21330,1847
961,9040,21330,1929
1216,9040,21330,2184
1142,3600,6800,2892
1098,3600,6800,2848
1011,3600,6800,2761
912,9040,21330,1880
1055,9040,21330,2023
913,9040,21330,1881
913,9040,21330,1881
787,9040,21330,1755
943,2195,2330,1400
1210,2195,2330,1667
913,2195,2330,1370
956,2195,2330,1413
1136,2195,2330,1593
1136,7260,23680,1346
874,7890,16950,1938
879,7890,16950,1943
1210,5200,10000,3231
1180,7890,16950,2244
1048,10370,11835,2648
913,10370,11835,2513
1223,10370,11835,2823
1080,5200,10000,3101
742,11280,18040,1286
830,3600,6800,2580
1043,10370,11835,2643
1177,10370,11835,2777
1098,3600,6800,2848
913,5200,10000,2934
1136,5200,10000,3157
791,3600,4800,1021
1005,10370,11835,2605
830,15200,26700,1225
829,11280,18040,1373
1061,11280,18040,1605
1179,11280,18040,1723
1210,11280,18040,1754
1174,11280,18040,1718
1340,11280,18040,1884
1180,11280,18040,1724
1093,11280,18040,1637
967,11280,18040,1511
1136,11280,18040,1680
967,11280,18040,1511
1221,11280,18040,1765
874,11280,18040,1418
1216,11280,18040,1760
1054,11280,18040,1598
1099,11280,18040,1643
791,11280,18040,1335
1174,11280,18040,1718
1092,24960,42100,3600
699,3600,4800,929
1224,3600,4800,1454
1130,10370,11835,2730
1092,10370,11835,2692
1141,10370,11835,2741
1267,5200,10000,3288
1267,5200,10000,3288
1098,5200,10000,3119
923,5200,10000,2944
1052,5200,10000,3073
1136,11280,18040,1680
1092,11280,18040,1636
760,11280,18040,1304
1092,11280,18040,1636
1261,11280,18040,1805
1210,11280,18040,1754
1210,11280,18040,1754
1199,11280,18040,1743
881,11280,18040,1425
1005,11280,18040,1549
1048,11280,18040,1592
1186,11280,18040,1730
1130,11280,18040,1674
1086,11280,18040,1630
1000,11280,18040,1544
1083,11280,18040,1627
917,11280,18040,1461
1048,11280,18040,1592
1145,11280,18040,1689
917,15200,26700,1312
879,7890,16950,1943
1048,15200,26700,1443
1216,15200,26700,1611
879,15200,26700,1274
879,16000,61780,1649
961,12740,26480,2058
1005,24960,42100,3600
917,12790,25770,3000
1048,12790,25770,3131
913,12790,25770,2996
830,12790,25770,2913
874,12790,25770,2957
1253,12790,25770,3336
791,12790,25770,2874
1043,12790,25770,3126
956,12790,25770,3039
1116,7890,16950,2180
1120,2195,2330,1577
1120,2195,2330,1577
1005,10370,11835,2605
784,7890,16950,1848
703,7890,16950,1767
1136,7890,16950,2200
1210,7890,16950,2274
1080,10370,11835,2680
1005,5200,10000,3026
1005,5200,10000,3026
1055,11280,18040,1599
836,13100,39320,2819
1005,17500,47520,2445
988,17500,47520,2428
1048,17500,47520,2488
961,24000,64000,4200
1354,24000,64000,4593
961,24000,64000,4200
830,24000,64000,4069
1311,24000,64000,4550
1024,7890,16950,3000
1085,13130,30620,3170
874,13130,30620,2959
874,13130,30620,2959
1223,24000,64000,3999
791,5000,6120,1060
1223,5000,6120,1492
1129,20640,50000,2407
782,2195,2330,1239
851,24960,42100,3599
879,4330,8180,2779
954,7890,16950,1900
1513,7890,16950,2459
1273,7890,16950,2219
1179,7890,16950,2125
871,7890,16950,1817
1311,7890,16950,2257
1042,7890,16950,1988
1383,7890,16950,2329
1102,7890,16950,2048
1398,7890,16950,2344
1005,7890,16950,1951
782,7890,16950,1728
1130,7890,16950,2076
1099,7890,16950,2045
1048,7890,16950,1994
1440,7890,16950,2386
917,7890,16950,1863
1130,1570,5360,2459
